state,zcta5,ZIPName,County,County2
01,35004,"Moody, AL",St. Clair AL,
01,35005,"Adamsville, AL",Jefferson AL,
01,35006,"Adger, AL",Jefferson AL,Walker AL
01,35007,"Alabaster, AL",Shelby AL,
01,35010,"Alexander City, AL",Tallapoosa AL,Coosa AL
01,35013,"Allgood, AL",Blount AL,
01,35014,"Alpine, AL",Talladega AL,
01,35016,"Arab, AL",Marshall AL,Cullman AL
01,35019,"Baileyton, AL",Cullman AL,Morgan AL
01,35020,"Bessemer, AL",Jefferson AL,
01,35022,"Bessemer, AL",Jefferson AL,Shelby AL
01,35023,"Hueytown, AL",Jefferson AL,
01,35031,"Blountsville, AL",Blount AL,
01,35032,"Bon Air, AL",Talladega AL,
01,35033,"Bremen, AL",Cullman AL,Walker AL
01,35034,"Brent, AL",Bibb AL,Perry AL
01,35035,"Brierfield, AL",Bibb AL,Shelby AL
01,35036,"Brookside, AL",Jefferson AL,
01,35040,"Calera, AL",Shelby AL,Chilton AL
01,35042,"Centreville, AL",Bibb AL,
01,35043,"Chelsea, AL",Shelby AL,
01,35044,"Childersburg, AL",Talladega AL,
01,35045,"Clanton, AL",Chilton AL,
01,35046,"Clanton, AL",Chilton AL,Coosa AL
01,35049,"Cleveland, AL",Blount AL,
01,35051,"Columbiana, AL",Shelby AL,
01,35052,"Cook Springs, AL (PO Boxes)",St. Clair AL,
01,35053,"Crane Hill, AL",Cullman AL,Winston AL
01,35054,"Cropwell, AL",St. Clair AL,
01,35055,"Cullman, AL",Cullman AL,
01,35057,"Cullman, AL",Cullman AL,
01,35058,"Cullman, AL",Cullman AL,
01,35060,"Docena, AL (PO Boxes)",Jefferson AL,
01,35061,"Birmingham, AL",Jefferson AL,
01,35062,"Dora, AL",Jefferson AL,Walker AL
01,35063,"Empire, AL",Walker AL,Blount AL
01,35064,"Fairfield, AL",Jefferson AL,
01,35068,"Fultondale, AL",Jefferson AL,
01,35070,"Garden City, AL",Cullman AL,
01,35071,"Gardendale, AL",Jefferson AL,
01,35072,"Goodwater, AL",Coosa AL,Clay AL
01,35073,"Graysville, AL",Jefferson AL,
01,35074,"Green Pond, AL (PO Boxes)",Bibb AL,
01,35077,"Hanceville, AL",Cullman AL,
01,35078,"Harpersville, AL",Shelby AL,
01,35079,"Hayden, AL",Blount AL,Jefferson AL
01,35080,"Helena, AL",Shelby AL,Jefferson AL
01,35083,"Holly Pond, AL",Cullman AL,
01,35085,"Jemison, AL",Chilton AL,
01,35087,"Joppa, AL",Cullman AL,Morgan AL
01,35089,"Kellyton, AL",Coosa AL,Tallapoosa AL
01,35091,"Kimberly, AL",Jefferson AL,
01,35094,"Leeds, AL",Jefferson AL,St. Clair AL
01,35096,"Lincoln, AL",Talladega AL,Calhoun AL
01,35097,"Locust Fork, AL",Blount AL,
01,35098,"Logan, AL",Cullman AL,Winston AL
01,35111,"Mc Calla, AL",Tuscaloosa AL,Jefferson AL
01,35112,"Margaret, AL",St. Clair AL,
01,35114,"Alabaster, AL",Shelby AL,
01,35115,"Montevallo, AL",Shelby AL,Chilton AL
01,35116,"Morris, AL",Jefferson AL,
01,35117,"Mount Olive, AL",Jefferson AL,
01,35118,"Sylvan Springs, AL",Jefferson AL,
01,35119,"New Castle, AL (PO Boxes)",Jefferson AL,
01,35120,"Odenville, AL",St. Clair AL,
01,35121,"Oneonta, AL",Blount AL,St. Clair AL
01,35124,"Pelham, AL",Shelby AL,
01,35125,"Pell City, AL",St. Clair AL,
01,35126,"Pinson, AL",Jefferson AL,Blount AL
01,35127,"Pleasant Grove, AL",Jefferson AL,
01,35128,"Pell City, AL",St. Clair AL,
01,35130,"Quinton, AL",Walker AL,Jefferson AL
01,35131,"Ragland, AL",St. Clair AL,
